,city,district,price,area
0,Łódź,Górna,315000.0,37.0
1,Łódź,Bałuty,344995.0,45.0
2,Łódź,Górna,216000.0,33.0
3,Łódź,Polesie,933790.0,71.83
4,Łódź,Polesie,,52.16
5,Łódź,Śródmieście,349000.0,40.0
6,Łódź,Bałuty,210500.0,27.0
7,Łódź,Górna,340001.0,51.0
8,Łódź,Polesie,1271592.0,100.92
9,Łódź,Górna,315000.0,37.64
10,Łódź,Polesie,557570.0,42.89
11,Łódź,Bałuty,280000.0,45.0
12,Łódź,Górna,285000.0,42.14
13,Łódź,Widzew,,37.21
14,Łódź,Widzew,,37.13
15,Łódź,Widzew,,50.49
16,Łódź,Polesie,1485840.0,120.8
17,Łódź,Widzew,,32.61
18,Łódź,Widzew,,46.81
19,Łódź,Widzew,,48.22
20,Łódź,Widzew,,25.43
21,Łódź,Widzew,,25.09
22,Łódź,Widzew,,64.12
23,Łódź,Widzew,,62.94
24,Łódź,Widzew,,30.8
25,Łódź,Widzew,,41.69
26,Łódź,Widzew,,37.21
27,Łódź,Widzew,,37.13
28,Łódź,Widzew,,50.49
29,Łódź,Widzew,,32.61
30,Łódź,Widzew,,46.81
31,Łódź,Widzew,,48.22
32,Łódź,Widzew,,25.43
33,Łódź,Polesie,1415250.0,113.22
34,Łódź,Polesie,847080.0,65.16
35,Łódź,Widzew,,25.09
36,Łódź,Widzew,,64.12
37,Łódź,Widzew,,62.94
38,Łódź,Widzew,,30.8
39,Łódź,Widzew,,41.69
40,Łódź,Widzew,,37.21
41,Łódź,Bałuty,,51.88
42,Łódź,Widzew,,37.13
43,Łódź,Widzew,,50.49
44,Łódź,Widzew,,32.61
45,Łódź,Widzew,,46.81
46,Łódź,Widzew,,48.22
47,Łódź,Widzew,,25.43
48,Łódź,Widzew,,25.09
49,Łódź,Widzew,,64.12
50,Łódź,Widzew,,62.94
51,Łódź,Widzew,,25.19
52,Łódź,Widzew,,30.8
53,Łódź,Widzew,,41.69
54,Łódź,Widzew,,37.13
55,Łódź,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,,61.97
56,Łódź,Widzew,,50.49
57,Łódź,Widzew,,32.61
58,Łódź,Widzew,,46.81
59,Łódź,Widzew,,48.22
60,Łódź,Widzew,,25.43
61,Łódź,Widzew,,64.12
62,Łódź,Widzew,,62.94
63,Łódź,Śródmieście,275000.0,35.0
64,Łódź,Widzew,,25.19
65,Łódź,Widzew,,41.69
66,Łódź,Widzew,,37.21
67,Łódź,Widzew,,37.13
68,Łódź,Widzew,,50.49
69,Łódź,Bałuty,,66.73
70,Łódź,Widzew,,32.61
71,Łódź,Widzew,,46.81
72,Łódź,Widzew,,48.22
73,Łódź,Widzew,,25.43
74,Łódź,Widzew,,25.09
75,Łódź,Widzew,,64.12
76,Łódź,Widzew,,62.94
77,Łódź,Widzew,,25.19
78,Łódź,Widzew,,30.8
79,Łódź,Widzew,,41.69
80,Łódź,Widzew,,37.21
81,Łódź,Widzew,,37.13
82,Łódź,Widzew,,50.49
83,Łódź,Widzew,,32.61
84,Łódź,Widzew,,46.81
85,Łódź,Widzew,,48.22
86,Łódź,Widzew,,25.43
87,Łódź,Widzew,,25.09
88,Łódź,Widzew,,64.12
89,Łódź,Widzew,,62.94
90,Łódź,Widzew,,25.19
91,Łódź,Widzew,,30.8
92,Łódź,Widzew,,41.69
93,Łódź,Widzew,,37.21
94,Łódź,Widzew,,37.13
95,Łódź,Widzew,,50.49
96,Łódź,Widzew,,32.61
97,Łódź,Widzew,,46.81
98,Łódź,Widzew,,48.22
99,Łódź,Widzew,,25.43
100,Łódź,Widzew,,25.09
101,Łódź,Widzew,,27.95
102,Łódź,Widzew,,26.72
103,Łódź,Widzew,,25.19
104,Łódź,Widzew,,37.13
105,Łódź,Widzew,,32.61
106,Łódź,Widzew,,46.81
107,Łódź,Widzew,,48.22
108,Łódź,Widzew,,25.43
109,Łódź,Widzew,,25.09
110,Łódź,Widzew,,64.12
111,Łódź,Widzew,,62.94
112,Łódź,Widzew,,30.8
113,Łódź,Widzew,,41.69
114,Łódź,Widzew,,37.21
115,Łódź,Widzew,,37.13
116,Łódź,Widzew,,50.49
117,Łódź,Widzew,,32.61
118,Łódź,Widzew,,46.81
119,Łódź,Widzew,,48.22
120,Łódź,Widzew,,25.43
121,Łódź,Widzew,,25.09
122,Łódź,Widzew,,64.12
123,Łódź,Widzew,,25.19
124,Łódź,Widzew,,30.8
125,Łódź,Widzew,,41.69
126,Łódź,Bałuty,565000.0,69.0
127,Łódź,Widzew,,37.21
128,Łódź,Widzew,,37.13
129,Łódź,Widzew,,32.61
130,Łódź,Widzew,,46.81
131,Łódź,Widzew,,48.22
132,Łódź,Widzew,,25.43
133,Łódź,Widzew,,25.09
134,Łódź,Widzew,,64.12
135,Łódź,Widzew,,62.94
136,Łódź,Widzew,,25.19
137,Łódź,Widzew,,30.8
138,Łódź,Widzew,,41.69
139,Łódź,Widzew,,37.21
140,Łódź,Widzew,,37.13
141,Łódź,Widzew,,50.49
142,Łódź,Polesie,,70.79
143,Łódź,Widzew,,32.61
144,Łódź,Widzew,,46.81
145,Łódź,Widzew,,48.22
146,Łódź,Widzew,,25.43
147,Łódź,Widzew,,25.09
148,Łódź,Widzew,,64.12
149,Łódź,Widzew,,62.94
150,Łódź,Widzew,,25.19
151,Łódź,Widzew,,37.21
152,Łódź,Widzew,,37.13
153,Łódź,Widzew,,50.49
154,Łódź,Widzew,443000.0,57.0
155,Łódź,Widzew,,32.61
156,Łódź,Widzew,,46.81
157,Łódź,Widzew,,48.22
158,Łódź,Widzew,,25.43
159,Łódź,Widzew,,25.09
160,Łódź,Widzew,,64.12
161,Łódź,Widzew,,62.94
162,Łódź,Widzew,,25.19
163,Łódź,Widzew,,30.8
164,Łódź,Widzew,,41.69
165,Łódź,Widzew,,37.21
166,Łódź,Bałuty,,50.71
167,Łódź,Widzew,,37.13
168,Łódź,Widzew,,34.64
169,Łódź,Widzew,,50.49
170,Łódź,Widzew,,32.61
171,Łódź,Widzew,,46.81
172,Łódź,Widzew,,48.22
173,Łódź,Widzew,,25.43
174,Łódź,Widzew,,25.09
175,Łódź,Widzew,,64.12
176,Łódź,Widzew,,62.94
177,Łódź,Widzew,,25.19
178,Łódź,Widzew,,30.8
179,Łódź,Bałuty,373000.0,45.0
180,Łódź,Widzew,,41.69
181,Łódź,Widzew,,37.21
182,Łódź,Widzew,,37.13
183,Łódź,Widzew,,34.64
184,Łódź,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,,77.96
185,Łódź,Widzew,,50.49
186,Łódź,Widzew,,32.61
187,Łódź,Widzew,,46.81
188,Łódź,Widzew,,48.22
189,Łódź,Widzew,,25.43
190,Łódź,Widzew,,25.09
191,Łódź,Widzew,,27.95
192,Łódź,Widzew,,25.19
193,Łódź,Widzew,,30.8
194,Łódź,Widzew,,41.69
195,Łódź,Widzew,,50.49
196,Łódź,Widzew,,32.61
197,Łódź,Widzew,,46.81
198,Łódź,Widzew,,48.22
199,Łódź,Widzew,,25.43
200,Łódź,Widzew,,62.94
201,Łódź,Widzew,,25.19
202,Łódź,Widzew,,30.8
203,Łódź,Widzew,,41.69
204,Łódź,Bałuty,,73.72
205,Łódź,Bałuty,348000.0,44.0
206,Łódź,ul. inż. Stefana Skrzywana,,73.25
207,Łódź,Bałuty,532000.0,51.5
208,Łódź,Górna,576940.0,82.42
209,Łódź,Bałuty,460000.0,55.88
210,Łódź,Polesie,,70.79
211,Łódź,Bałuty,,35.82
212,Łódź,Polesie,,32.49
213,Łódź,Bałuty,324769.0,41.11
214,Łódź,Bałuty,470287.0,59.53
215,Łódź,Bałuty,817255.0,103.45
216,Łódź,Bałuty,601970.0,70.82
217,Łódź,Bałuty,355895.0,45.05
218,Łódź,Widzew,370000.0,62.5
219,Łódź,Bałuty,270000.0,45.0
220,Łódź,Górna,560000.0,58.0
221,Łódź,ul. inż. Stefana Skrzywana,,69.41
222,Łódź,Górna,576940.0,82.42
223,Łódź,Polesie,410000.0,66.0
224,Łódź,Górna,707840.0,101.12
225,Łódź,Bałuty,,44.01
226,Łódź,Śródmieście,480627.0,50.86
227,Łódź,Polesie,873000.0,69.36
228,Łódź,Bałuty,758000.0,108.0
229,Łódź,Śródmieście,525375.0,75.55
230,Łódź,Bałuty,,32.76
231,Łódź,Bałuty,,37.71
232,Łódź,Widzew,,41.7
233,Łódź,Polesie,350000.0,48.0
234,Łódź,Polesie,,70.79
235,Łódź,Bałuty,550000.0,71.0
236,Łódź,Bałuty,,54.57
237,Łódź,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,,65.52
238,Łódź,Górna,,26.56
239,Łódź,Bałuty,,76.69
240,Łódź,Widzew,,81.53
241,Łódź,Górna,,39.09
242,Łódź,Śródmieście,499000.0,48.0
243,Łódź,Górna,350000.0,51.04
244,Łódź,Widzew,287000.0,50.07
245,Łódź,Bałuty,,32.76
246,Łódź,Śródmieście,149900.0,28.9
247,Łódź,Śródmieście,700569.0,101.91
248,Łódź,Śródmieście,402366.0,55.19
249,Łódź,Bałuty,884000.0,104.0
250,Łódź,Polesie,433432.0,57.2
251,Łódź,Śródmieście,226730.0,28.7
252,Łódź,Śródmieście,,50.52
253,Łódź,Polesie,,41.08
254,Łódź,Widzew,,71.98
255,Łódź,Polesie,527342.5,57.01
256,Łódź,Bałuty,,51.88
257,Łódź,Górna,,27.82
258,Łódź,Bałuty,531395.2,78.4
259,Łódź,Bałuty,,100.1
260,Łódź,Górna,519000.0,78.77
261,Łódź,Bałuty,828900.0,69.36
262,Łódź,Bałuty,,28.04
263,Łódź,Bałuty,564954.0,72.43
264,Łódź,Polesie,309000.0,52.2
265,Łódź,Górna,265000.0,45.0
266,Łódź,Bałuty,210000.0,30.0
267,Łódź,Górna,245000.0,35.0
268,Łódź,Śródmieście,340000.0,54.35
269,Łódź,Bałuty,219000.0,39.69
270,Łódź,Śródmieście,580252.0,62.73
271,Łódź,Górna,270000.0,41.39
272,Łódź,Górna,616350.0,88.05
273,Łódź,Śródmieście,554652.0,66.03
274,Łódź,Bałuty,230000.0,30.4
275,Łódź,Bałuty,635000.0,64.9
276,Łódź,Widzew,425000.0,61.0
277,Łódź,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,,82.18
278,Łódź,Widzew,419000.0,47.0
279,Łódź,Bałuty,391392.0,54.36
280,Łódź,Bałuty,,35.82
281,Łódź,Widzew,729000.0,69.0
282,Łódź,Górna,698000.0,75.0
283,Łódź,Widzew,420000.0,59.5
284,Łódź,Górna,189000.0,25.62
285,Łódź,Śródmieście,401714.0,55.13
286,Łódź,Bałuty,,38.71
287,Łódź,Polesie,285000.0,47.05
288,Łódź,Śródmieście,525375.0,75.55
289,Łódź,Górna,,93.06
290,Łódź,Bałuty,,49.64
291,Łódź,Polesie,,70.79
292,Łódź,Górna,,70.77
293,Łódź,Widzew,,41.95
294,Łódź,,314900.0,38.0
295,Łódź,Polesie,285000.0,37.5
296,Łódź,Śródmieście,297271.0,50.99
297,Łódź,Bałuty,295000.0,44.5
298,Łódź,Śródmieście,261360.0,29.04
299,Łódź,Polesie,415000.0,47.0
300,Łódź,Widzew,,50.49
301,Łódź,Widzew,,32.61
302,Łódź,Widzew,,46.81
303,Łódź,Widzew,,48.22
304,Łódź,Widzew,,25.43
305,Łódź,Widzew,,25.09
306,Łódź,Widzew,,64.12
307,Łódź,Widzew,,62.94
308,Łódź,Widzew,,25.19
309,Łódź,Widzew,,30.8
310,Łódź,Widzew,,41.69
311,Łódź,Widzew,,32.61
312,Łódź,Widzew,,46.81
313,Łódź,Widzew,,48.22
314,Łódź,Widzew,,25.43
315,Łódź,Widzew,,25.09
316,Łódź,Widzew,,64.12
317,Łódź,Widzew,,62.94
318,Łódź,Widzew,,25.19
319,Łódź,Widzew,,30.8
320,Łódź,Widzew,,41.69
321,Łódź,Widzew,,37.21
322,Łódź,Widzew,,37.13
323,Łódź,Widzew,,32.61
324,Łódź,Widzew,,46.81
325,Łódź,Widzew,,48.22
326,Łódź,Widzew,,25.43
327,Łódź,Widzew,,93.18
328,Łódź,Widzew,,25.09
329,Łódź,Widzew,,64.12
330,Łódź,Widzew,,25.19
331,Łódź,Górna,340000.0,45.0
332,Łódź,Widzew,,37.21
333,Łódź,Widzew,,37.13
334,Łódź,Górna,616350.0,88.05
335,Łódź,Widzew,,50.49
336,Łódź,Widzew,,32.61
337,Łódź,Widzew,,46.81
338,Łódź,Widzew,,48.22
339,Łódź,Widzew,,25.43
340,Łódź,Widzew,,25.09
341,Łódź,Widzew,,64.12
342,Łódź,Widzew,,62.94
343,Łódź,Widzew,,25.19
344,Łódź,Widzew,,30.8
345,Łódź,Widzew,,37.21
346,Łódź,Widzew,,37.13
347,Łódź,Widzew,,34.64
348,Łódź,Widzew,,50.49
349,Łódź,Widzew,,32.61
350,Łódź,Widzew,,46.81
351,Łódź,Widzew,,48.22
352,Łódź,Widzew,,25.43
353,Łódź,Widzew,,25.09
354,Łódź,Widzew,,64.12
355,Łódź,Widzew,,62.94
356,Łódź,Widzew,,25.19
357,Łódź,Widzew,,30.8
358,Łódź,Widzew,,41.69
359,Łódź,Widzew,,37.21
360,Łódź,Widzew,,50.49
361,Łódź,Widzew,,48.22
362,Łódź,Widzew,,46.81
363,Łódź,Widzew,,25.43
364,Łódź,Widzew,,25.09
365,Łódź,Widzew,,26.72
366,Łódź,Widzew,,25.19
367,Łódź,Widzew,,30.8
368,Łódź,Widzew,,41.69
369,Łódź,Bałuty,,66.87
370,Łódź,Widzew,,38.74
371,Łódź,Widzew,,60.29
372,Łódź,Widzew,,41.2
373,Łódź,Widzew,,60.14
374,Łódź,Widzew,,60.29
375,Łódź,Widzew,,41.2
376,Łódź,Widzew,,38.74
377,Łódź,Widzew,,60.14
378,Łódź,Bałuty,277100.0,36.0
379,Łódź,Widzew,,29.31
380,Łódź,Widzew,,44.2
381,Łódź,,355000.0,44.87
382,Łódź,Widzew,,41.2
383,Łódź,Widzew,,36.04
384,Łódź,Górna,285000.0,37.05
385,Łódź,Widzew,,38.68
386,Łódź,Widzew,,49.68
387,Łódź,Widzew,,44.1
388,Łódź,Widzew,,41.23
389,Łódź,Widzew,,36.04
390,Łódź,Widzew,,35.3
391,Łódź,Widzew,,38.68
392,Łódź,Widzew,,49.68
393,Łódź,Śródmieście,354873.0,40.79
394,Łódź,Widzew,,51.49
395,Łódź,Widzew,,42.54
396,Łódź,Widzew,,38.74
397,Łódź,Widzew,,35.36
398,Łódź,Widzew,,36.56
399,Łódź,Widzew,,41.2
400,Łódź,Widzew,,75.11
401,Łódź,Śródmieście,259100.0,25.91
402,Łódź,Widzew,,38.74
403,Łódź,Widzew,,42.54
404,Łódź,Widzew,,41.2
405,Łódź,Widzew,,60.25
406,Łódź,Widzew,,75.11
407,Łódź,Widzew,,49.74
408,Łódź,Widzew,,38.74
409,Łódź,Widzew,,35.36
410,Łódź,Widzew,,36.63
411,Łódź,Widzew,,41.22
412,Łódź,Widzew,,30.31
413,Łódź,Widzew,,29.71
414,Łódź,Widzew,,29.32
415,Łódź,Widzew,,51.54
416,Łódź,Widzew,,49.68
417,Łódź,Widzew,,38.68
418,Łódź,Widzew,,35.3
419,Łódź,Śródmieście,367110.0,40.79
420,Łódź,Widzew,,42.48
421,Łódź,Widzew,,41.23
422,Łódź,Widzew,,49.25
423,Łódź,Widzew,,44.14
424,Łódź,Widzew,,30.23
425,Łódź,Widzew,,29.62
426,Łódź,Widzew,,42.53
427,Łódź,Widzew,,60.28
428,Łódź,Widzew,,41.2
429,Łódź,Widzew,,36.63
430,Łódź,Widzew,,35.36
431,Łódź,Widzew,,38.74
432,Łódź,Widzew,,60.28
433,Łódź,Widzew,,41.2
434,Łódź,Widzew,,42.53
435,Łódź,Widzew,,38.74
436,Łódź,Widzew,,60.14
437,Łódź,Widzew,,75.12
438,Łódź,Widzew,,29.33
439,Łódź,Widzew,,29.7
440,Łódź,Widzew,,30.34
441,Łódź,Śródmieście,262620.0,29.18
442,Łódź,Widzew,,45.91
443,Łódź,Widzew,,41.2
444,Łódź,Widzew,,35.36
445,Łódź,Widzew,,38.74
446,Łódź,Widzew,,29.62
447,Łódź,Widzew,,30.26
448,Łódź,Widzew,,49.25
449,Łódź,Widzew,,44.1
450,Łódź,Widzew,,41.23
451,Łódź,Widzew,,42.48
452,Łódź,Widzew,,35.3
453,Łódź,Widzew,,38.68
454,Łódź,Widzew,,49.68
455,Łódź,Widzew,,51.54
456,Łódź,Widzew,,35.36
457,Łódź,Widzew,,38.74
458,Łódź,Widzew,,36.1
459,Łódź,Widzew,,40.79
460,Łódź,Widzew,,60.03
461,Łódź,Widzew,,38.74
462,Łódź,Widzew,,40.79
463,Łódź,Widzew,,38.74
464,Łódź,Widzew,,36.1
465,Łódź,Widzew,,40.79
466,Łódź,Widzew,,44.2
467,Łódź,Widzew,,30.29
468,Łódź,Widzew,,62.75
469,Łódź,Widzew,,38.68
470,Łódź,Widzew,,35.3
471,Łódź,Widzew,,36.04
472,Łódź,Widzew,,30.75
473,Łódź,Widzew,,45.36
474,Łódź,Widzew,,30.22
475,Łódź,Widzew,,29.66
476,Łódź,Polesie,430000.0,63.71
477,Łódź,Górna,,69.23
478,Łódź,Górna,,63.92
479,Łódź,Śródmieście,369000.0,41.0
480,Łódź,Górna,,64.3
481,Łódź,Górna,,64.23
482,Łódź,Górna,,58.8
483,Łódź,Śródmieście,383426.0,40.79
484,Łódź,ul. inż. Stefana Skrzywana,,49.19
485,Łódź,ul. inż. Stefana Skrzywana,,49.19
486,Łódź,Śródmieście,359000.0,58.0
487,Łódź,Polesie,,56.9
488,Łódź,Górna,189000.0,30.0
489,Łódź,Śródmieście,190000.0,43.0
490,Łódź,Górna,310000.0,39.72
491,Łódź,Bałuty,273000.0,52.58
492,Łódź,Bałuty,350000.0,53.0
493,Łódź,Polesie,399000.0,63.58
494,Łódź,Śródmieście,477000.0,36.71
495,Łódź,Bałuty,,28.49
496,Łódź,Górna,342000.0,50.07
497,Łódź,Górna,265000.0,36.62
498,Łódź,Widzew,280000.0,47.22
499,Łódź,Górna,300000.0,31.57
500,Łódź,Śródmieście,398000.0,44.5
501,Łódź,Widzew,335000.0,46.0
502,Łódź,Śródmieście,261810.0,29.09
503,Łódź,Widzew,,62.44
504,Łódź,Bałuty,349000.0,45.0
505,Łódź,Górna,,75.32
506,Łódź,Widzew,435528.0,60.49
507,Łódź,Śródmieście,258000.0,25.8
508,Łódź,Widzew,285000.0,43.19
509,Łódź,Górna,260000.0,45.0
510,Łódź,Widzew,450000.0,60.0
511,Łódź,Polesie,249000.0,42.42
512,Łódź,Bałuty,,65.37
513,Łódź,Górna,,42.11
514,Łódź,Górna,,27.36
515,Łódź,Bałuty,1195000.0,135.5
516,Łódź,Polesie,218875.0,25.75
517,Łódź,Widzew,755000.0,64.0
518,Łódź,Widzew,,62.35
519,Łódź,Śródmieście,363528.0,35.64
520,Łódź,Bałuty,,51.88
521,Łódź,Bałuty,576408.0,68.62
522,Łódź,Górna,,76.46
523,Łódź,Polesie,419000.0,52.5
524,Łódź,Śródmieście,620000.0,86.0
525,Łódź,Polesie,420000.0,52.97
526,Łódź,Śródmieście,670000.0,87.0
527,Łódź,Śródmieście,449000.0,61.0
528,Łódź,Bałuty,,75.26
529,Łódź,Bałuty,530000.0,53.2
530,Łódź,Górna,380000.0,42.42
531,Łódź,Górna,205000.0,32.67
532,Łódź,Bałuty,459000.0,62.13
533,Łódź,Śródmieście,495000.0,48.46
534,Łódź,ul. inż. Stefana Skrzywana,,49.19
535,Łódź,ul. mjr. Eugeniusza Nurta-Kaszyńskiego,,78.68
536,Łódź,Bałuty,8900.0,1.0
537,Łódź,Górna,429000.0,50.1
538,Łódź,Polesie,309000.0,42.42
539,Łódź,Widzew,465000.0,66.0
540,Łódź,Polesie,735000.0,99.0
541,Łódź,Bałuty,799000.0,93.0
542,Łódź,Śródmieście,309000.0,26.91
543,Łódź,Polesie,318000.0,42.42
544,Łódź,Polesie,371142.0,46.98
545,Łódź,Śródmieście,330000.0,52.0
546,Łódź,Bałuty,679360.0,65.31
547,Łódź,Górna,188000.0,20.47
548,Łódź,Górna,359000.0,63.3
549,Łódź,ul. inż. Stefana Skrzywana,,69.64
550,Łódź,Śródmieście,377000.0,41.91
551,Łódź,Bałuty,384000.0,44.0
552,Łódź,Górna,,91.58
553,Łódź,Widzew,350000.0,54.0
554,Łódź,Bałuty,,73.72
555,Łódź,,285000.0,47.6
556,Łódź,Widzew,330000.0,51.0
557,Łódź,Widzew,,27.01
558,Łódź,Bałuty,,46.29
559,Łódź,Śródmieście,525000.0,55.0
560,Łódź,Górna,,70.51
561,Łódź,Bałuty,315000.0,44.21
562,Łódź,Górna,465000.0,62.21
563,Łódź,Śródmieście,264900.0,38.0
564,Łódź,Górna,250000.0,44.45
565,Łódź,Śródmieście,315000.0,49.0
566,Łódź,Bałuty,175000.0,27.0
567,Łódź,Górna,765000.0,89.35
568,Łódź,Widzew,610000.0,66.43
569,Łódź,Widzew,530000.0,69.0
570,Łódź,Górna,195000.0,28.0
571,Łódź,Górna,309000.0,34.4
572,Łódź,Górna,245000.0,36.45
573,Łódź,Widzew,750000.0,178.0
574,Łódź,Bałuty,,55.58
575,Łódź,Polesie,440000.0,59.03
576,Łódź,Górna,309000.0,40.0
577,Łódź,Śródmieście,,32.25
578,Łódź,Bałuty,439000.0,92.0
